block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,p_catch
0,115,target,"[(1168, 784)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 262.0)",1.0833333333333333,0.451,1,1646.697,3,0.04,0.25
0,116,target,"[(1179, 786)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",1.1333333333333333,0.503,1,1652.725,3,0.04,0.25
0,117,target,"[(1165, 776)]",[],[1],[0.6666666666666666],horizontal,"(890.0, 262.0)",0.8166666666666667,0.62,1,1658.959,3,0.04,0.25
0,118,target,"[(1178, 779)]",[],[1],[0.36666666666666664],horizontal,"(390.0, 262.0)",1.5333333333333332,0.325,1,1664.331,3,0.02,0.25
0,119,catch,"[(1164, 769)]",[],[1],[],vertical,"(890.0, 262.0)",1.65,nan,1,1670.709,3,0.02,0.25
0,120,target,"[(1179, 771)]",[],[1],[0.45],vertical,"(890.0, 262.0)",1.4666666666666666,0.411,1,1676.272,3,0.02,0.25
0,121,target,"[(1160, 816)]",[],[1],[0.5833333333333334],horizontal,"(390.0, 762.0)",0.4666666666666667,0.545,1,1682.285,3,0.02,0.25
0,122,target,"[(927, 401), (1159, 811)]",[],"[0, 1]",[],horizontal,"(390.0, 762.0)",,"('fix', 0.197)",0,1687.842,0,0.02,0.25
0,123,target,"[(983, 890), (1119, 919)]",[],"[0, 1]",[],vertical,"(890.0, 262.0)",,"('fix', 0.051)",0,3351.47,0,0.02,0.25
0,124,target,"[(1129, 929)]","[(1123, 925)]",[1],[0.3],vertical,"(390.0, 262.0)",,"('bar', 0.32)",0,3363.219,0,0.02,0.25
0,125,target,"[(170, 842), (1194, 822)]",[],"[0, 1]",[0.85],horizontal,"(890.0, 762.0)",0.43333333333333335,nan,0,3366.001,0,0.02,0.25
0,126,catch,"[(1153, 815)]",[],[1],[],horizontal,"(890.0, 262.0)",1.65,nan,1,5899.022,1,0.02,0.25
0,127,target,"[(1183, 794)]",[],[1],[0.5166666666666666],vertical,"(390.0, 262.0)",1.3833333333333333,0.478,1,5904.043,1,0.02,0.25
0,128,target,"[(1180, 791)]",[],[1],[0.6166666666666667],horizontal,"(390.0, 762.0)",1.0,0.58,1,5909.315,1,0.02,0.25
0,129,catch,"[(1185, 794)]",[],[1],[],vertical,"(890.0, 762.0)",1.65,nan,1,5914.754,2,0.0,0.25
0,130,target,"[(1164, 781)]",[],[1],[0.6],horizontal,"(890.0, 762.0)",0.85,0.559,1,5920.641,2,0.0,0.25
0,131,catch,"[(1157, 795)]",[],[1],[],vertical,"(390.0, 262.0)",,"('cti', 1.488),nan",0,5926.725,0,0.02,0.25
0,132,catch,"[(1179, 835)]",[],[1],[],horizontal,"(390.0, 262.0)",1.65,nan,1,5931.342,1,0.02,0.25
0,133,target,"[(1149, 789)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 262.0)",0.35,0.541,1,5936.699,1,0.02,0.25
0,134,target,"[(1169, 789)]",[],[1],[0.6],vertical,"(890.0, 762.0)",1.45,0.561,1,5941.026,1,0.02,0.25
0,135,catch,"[(1183, 796)]",[],[1],[],horizontal,"(890.0, 262.0)",1.65,nan,1,5946.876,2,0.02,0.25
0,136,target,"[(1161, 764)]",[],[1],[0.6833333333333333],vertical,"(890.0, 762.0)",0.7166666666666667,0.639,1,5952.692,2,0.02,0.25
0,137,target,"[(1180, 789)]",[],[1],[0.5833333333333334],vertical,"(390.0, 262.0)",1.5,0.543,1,5958.439,2,0.02,0.25
0,138,catch,"[(1181, 763)]",[],[1],[],horizontal,"(890.0, 262.0)",1.65,nan,1,5964.142,2,0.02,0.25
0,139,catch,"[(1167, 792)]",[],[1],[],vertical,"(390.0, 762.0)",1.65,nan,1,5969.877,3,0.02,0.25
0,140,target,"[(1183, 797)]",[],[1],[0.6333333333333333],vertical,"(390.0, 762.0)",1.4666666666666666,0.588,1,5976.126,3,0.02,0.25
0,141,target,"[(1155, 763)]",[],[1],[0.48333333333333334],vertical,"(390.0, 762.0)",1.3333333333333333,0.443,1,5982.845,3,0.02,0.25
0,142,catch,"[(1178, 763)]",[],[1],[],vertical,"(890.0, 762.0)",1.65,nan,1,5988.808,3,0.02,0.25
0,143,catch,"[(1159, 764)]",[],[1],[],horizontal,"(390.0, 262.0)",1.65,nan,1,5995.158,3,0.02,0.25
0,144,target,"[(1162, 764)]",[],[1],[0.6166666666666667],horizontal,"(890.0, 762.0)",0.8333333333333334,0.573,1,6000.643,3,0.02,0.25
