block,practice,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
8,False,425,target,"[(1143, 516), (688, 516), (688, 562), (1037, 468), (1158, 527), (635, 530), (1167, 531), (1153, 615), (1124, 542), (427, 323), (1125, 914)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.2833333333333333],vertical,"(890.0, 262.0)",0.8333333333333334,0.251,1,7711.312
8,False,426,target,"[(1071, 900)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.4833333333333334,"cti_phase,nan",0,8543.114
8,False,427,target,"[(1052, 905)]",[],[1],[],vertical,"(390.0, 262.0)",,cti_phase,0,8548.28
8,False,428,target,"[(1102, 903)]",[],[1],[0.6833333333333333],vertical,"(890.0, 262.0)",1.6,0.636,1,8553.261
8,False,429,target,"[(1075, 904)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.5833333333333334,nan,0,8559.546
8,False,430,target,"[(1075, 905)]",[],[1],[0.4],horizontal,"(890.0, 262.0)",1.15,0.367,1,8563.75
8,False,431,target,"[(1075, 901)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 262.0)",1.2666666666666666,0.449,1,8568.22
8,False,432,catch,"[(1075, 888)]",[],[1],[0.45],horizontal,"(890.0, 762.0)",0.6833333333333333,nan,1,8573.096
8,False,433,target,"[(1085, 905)]",[],[1],[0.85],vertical,"(390.0, 762.0)",1.25,nan,0,8577.081
8,False,434,catch,"[(1077, 913)]",[],[1],[0.45],horizontal,"(390.0, 262.0)",1.0666666666666667,nan,1,8611.982
8,False,435,target,"[(1082, 911)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.7666666666666666,nan,0,8623.133
8,False,436,target,"[(902, 708), (1128, 838)]",[],"[0, 1]",[0.36666666666666664],vertical,"(890.0, 762.0)",0.7166666666666667,0.333,1,8639.05
8,False,437,target,"[(787, 137), (457, 557), (443, 270), (433, 285), (17, 282), (350, 122), (359, 230), (354, 242), (359, 275), (49, 241), (286, 245), (1206, 241), (1255, 251), (1066, 864)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.65],horizontal,"(890.0, 262.0)",0.85,0.602,1,9450.321
8,False,438,target,"[(1163, 815)]","[(1162, 826)]",[1],[0.03333333333333333],horizontal,"(890.0, 262.0)",,bar_phase,0,9669.733
8,False,439,target,"[(1199, 943)]",[],[1],[],horizontal,"(390.0, 262.0)",,fix_phase,0,9674.469
8,False,440,target,"[(1148, 831)]",[],[1],[],vertical,"(890.0, 262.0)",,fix_phase,0,9676.444
8,False,441,target,"[(1216, 878)]",[],[1],[],horizontal,"(390.0, 262.0)",,fix_phase,0,9678.66
8,False,442,target,"[(1202, 939)]","[(1202, 939)]",[1],[0.3],vertical,"(390.0, 262.0)",,bar_phase,0,9680.56
8,False,443,catch,"[(1162, 910)]",[],[1],[],vertical,"(890.0, 262.0)",,fix_phase,0,9690.234
8,False,444,target,"[(964, 912), (1197, 932)]","[(1192, 924)]","[0, 1]",[0.08333333333333333],horizontal,"(390.0, 762.0)",,bar_phase,0,9694.029
8,False,445,target,"[(1230, 991), (998, 767), (945, 910), (1081, 883)]",[],"[0, 0, 0, 1]",[0.1],vertical,"(890.0, 262.0)",1.6166666666666667,0.068,1,9711.607
8,False,446,target,"[(1067, 894)]",[],[1],[0.5166666666666666],vertical,"(390.0, 762.0)",0.7666666666666666,0.48,1,10057.203
8,False,447,target,"[(1094, 891)]",[],[1],[],horizontal,"(890.0, 262.0)",,cti_phase,0,10061.732
8,False,448,catch,"[(1090, 896)]",[],[1],[0.45],horizontal,"(390.0, 762.0)",0.5833333333333334,nan,1,10065.918
8,False,449,target,"[(1093, 904)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 262.0)",0.6,0.442,1,10070.126
8,False,450,target,"[(1084, 865)]",[],[1],[0.3],vertical,"(890.0, 262.0)",1.2666666666666666,0.268,1,10074.6
8,False,451,target,"[(1104, 898)]",[],[1],[0.2833333333333333],vertical,"(390.0, 762.0)",0.8333333333333334,0.246,1,10085.999
8,False,452,catch,"[(1081, 877)]",[],[1],[0.45],horizontal,"(390.0, 262.0)",0.6,nan,1,10090.431
8,False,453,catch,"[(1090, 893)]",[],[1],[0.2833333333333333],vertical,"(890.0, 762.0)",1.25,0.245,0,10094.403
8,False,454,target,"[(1078, 863)]",[],[1],[0.6333333333333333],vertical,"(390.0, 262.0)",0.8,0.588,1,10098.964
8,False,455,target,"[(1100, 876)]","[(1092, 887)]",[1],[0.06666666666666667],horizontal,"(390.0, 762.0)",,bar_phase,0,10103.469
8,False,456,target,"[(1085, 888)]",[],[1],[0.26666666666666666],horizontal,"(390.0, 262.0)",0.8833333333333333,0.235,1,10105.861
8,False,457,catch,"[(1114, 906)]",[],[1],[],horizontal,"(890.0, 762.0)",,cti_phase,0,10110.404
8,False,458,catch,"[(1071, 902)]",[],[1],[0.45],vertical,"(890.0, 762.0)",0.9666666666666667,nan,1,10114.033
8,False,459,catch,"[(1090, 897)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,10118.813
8,False,460,catch,"[(1103, 891)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,10123.33
8,False,461,catch,"[(1090, 886)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,10128.526
8,False,462,catch,"[(1095, 891)]","[(1102, 888)]",[1],[0.06666666666666667],horizontal,"(390.0, 762.0)",,bar_phase,0,10135.725
8,False,463,catch,"[(1105, 853)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,10139.352
8,False,464,catch,"[(1089, 887)]",[],[1],[],vertical,"(390.0, 262.0)",,cti_phase,0,10155.74
8,False,465,catch,"[(1095, 869)]",[],[1],[0.45],horizontal,"(390.0, 262.0)",0.5,nan,1,10161.004
8,False,466,target,"[(1110, 875)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 762.0)",0.8166666666666667,0.427,1,10164.865
8,False,467,target,"[(1096, 896)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",0.7333333333333333,0.53,1,10168.801
8,False,468,target,"[(1093, 898)]",[],[1],[0.5],vertical,"(890.0, 262.0)",0.5833333333333334,0.457,1,10173.056
8,False,469,target,"[(1098, 890)]",[],[1],[0.13333333333333333],horizontal,"(390.0, 762.0)",1.0833333333333333,0.102,1,10176.876
8,False,470,target,"[(1095, 902)]",[],[1],[],vertical,"(390.0, 262.0)",,cti_phase,0,10180.881
8,False,471,target,"[(1095, 896)]",[],[1],[0.4666666666666667],vertical,"(890.0, 762.0)",0.8666666666666667,0.428,1,10185.41
8,False,472,target,"[(1080, 909)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.5833333333333333,"cti_phase,nan",0,10189.523
8,False,473,target,"[(1090, 844)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 762.0)",1.15,0.441,1,10194.951
8,False,474,catch,"[(1098, 891)]",[],[1],[0.45],horizontal,"(890.0, 262.0)",0.8333333333333334,nan,1,10199.918
8,False,475,target,"[(1098, 880)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,10204.025
8,False,476,target,"[(1095, 889)]",[],[1],[0.45],horizontal,"(390.0, 762.0)",0.85,0.415,1,10209.527
8,False,477,target,"[(1095, 903)]",[],[1],[0.15],vertical,"(390.0, 762.0)",1.1833333333333333,0.12,1,10213.914
8,False,478,target,"[(1087, 896)]",[],[1],[0.45],horizontal,"(890.0, 762.0)",1.3,0.407,1,10218.347
8,False,479,target,"[(1100, 905)]",[],[1],[0.3],horizontal,"(390.0, 762.0)",1.2833333333333332,0.272,1,10223.198
8,False,480,target,"[(1100, 899)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",0.7,0.492,1,10228.167
